# Rime user dictionary
#@/db_name	moran
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	2765
#@/user_id	rime-huan
aa;ka 	啊	c=41 d=2.27782 t=2681
an;bn vd;yv 	安裝	c=8 d=1.7226 t=2582
an;fa vk;hv 	按照	c=2 d=1.00445 t=2511
ba;fb 	把	c=3 d=1.16292 t=2003
ba;kb 	吧	c=11 d=2.02468 t=2543
bc;fy 	表	c=12 d=4.32324 t=2406
bc;fy dj;kd 	表單	c=1 d=1 t=2368
bc;fy my;oo 	表明	c=1 d=1 t=1262
bc;mp ui;yg 	標識	c=1 d=1 t=1071
bf;aa di;ty 	本地	c=6 d=1.8665 t=2050
bi;bb jc;ij 	比較	c=1 d=1 t=2246
bi;dd tm;tv 	必填	c=1 d=1 t=2362
bi;dd xu;py 	必須	c=1 d=1 t=181
bi;dd xu;py yk;xn 	必須要	c=1 d=1 t=2583
bi;vy ji;yj 	筆記	c=2 d=1.99501 t=48
bj;dw 	班	c=1 d=1 t=1059
bj;pf bf;aa 	版本	c=3 d=1.0001 t=2326
bk;ex 	報	c=1 d=1 t=1104
bk;fb qm;qj 	抱歉	c=1 d=1 t=214
bk;gs 	包	c=8 d=1.98027 t=2591
bk;gs hj;rk 	包含	c=2 d=1.06142 t=769
bk;gs ko;fu 	包括	c=1 d=1 t=1671
bk;rd lq;td 	保留	c=0 d=0.1 t=2521
bm;sb hk;hh 	編號	c=1 d=1 t=1680
bm;sb yi;yx 	編譯	c=1 d=1 t=540
bm;ws 	變	c=1 d=1 t=1169
bm;ws ld;ol 	變量	c=3 d=1.36856 t=2629
bm;ws yi;tg 	變異	c=1 d=1 t=539
bu;ad 	不	c=13 d=1.55638 t=2531
bu;ad bk;gs hj;rk 	不包含	c=2 d=1.00011 t=2405
bu;ad dk;dv 	不到	c=1 d=1 t=434
bu;ad dv;ct 	不對	c=1 d=1 t=1779
bu;ad gb;dj ys;kf 	不夠用	c=1 d=1 t=1764
bu;ad gz;sh 	不給	c=1 d=1 t=392
bu;ad hk;nz ns;cw 	不好弄	c=1 d=1 t=2680
bu;ad iu;aa ll;ad 	不出來	c=0 d=0.1 t=709
bu;ad jx;jn mi;ub 	不解密	c=1 d=1 t=2026
bu;ad lc;aa 	不了	c=3 d=2.98506 t=2201
bu;ad lc;md 	不料	c=1 d=1 t=2196
bu;ad ng;sb 	不能	c=7 d=1.26697 t=2712
bu;ad qy;dq iu;mp 	不清楚	c=1 d=1 t=1036
bu;ad rj;hq 	不然	c=1 d=1 t=1787
bu;ad tl;dd ng;sb 	不太能	c=1 d=1 t=1724
bu;ad ts;kk 	不同	c=5 d=4.20873 t=2331
bu;ad ts;zy 	不通	c=1 d=1 t=170
bu;ad vi;ku dk;zu 	不知道	c=2 d=1.09027 t=1880
bu;ad xy;xi 	不行	c=2 d=1.00213 t=1839
bu;ad yi;aa dy;bp 	不一定	c=1 d=1 t=1064
bu;ad yi;aa yh;my 	不一樣	c=1 d=1 t=1423
bu;ad ys;kf 	不用	c=3 d=1.19502 t=2395
bu;ad yy;pj xd;yx 	不影響	c=2 d=1.0185 t=1728
bx;dd rf;pd 	別人	c=1 d=1 t=2568
by;qy 	並	c=2 d=1.9802 t=1575
bz;ag jy;wx 	北京	c=1 d=1 t=1315
bz;ag jy;wx ui;wj 	北京市	c=1 d=1 t=1361
ce;dz ui;yu 	測試	c=9 d=1.48632 t=2402
ce;dz ui;yu uh;aa mm;aa 	測試上面	c=1 d=1 t=2375
cg;bo 	曾	c=1 d=1 t=1553
cg;uc 	層	c=1 d=1 t=1554
cg;uc ji;sj 	層級	c=1 d=1 t=453
ch;rk ku;gi 	倉庫	c=7 d=2.60664 t=2646
ck;fz zo;rv 	操作	c=1 d=1 t=1644
co;jx 	錯	c=1 d=1 t=1105
co;jx wu;yw ma;um 	錯誤碼	c=1 d=1 t=1380
cp;uz zl;ut 	存在	c=1 d=1 t=1597
cs;ac 	丛	c=1 d=1 t=498
cs;xv 	從	c=2 d=1.00415 t=1975
da;fd kl;mk 	打開	c=1 d=1 t=1249
da;fd rk;fy 	打擾	c=0 d=0.1 t=236
da;fd rk;fy xw;ab 	打擾下	c=2 d=1.26448 t=503
da;fd yn;ey 	打印	c=1 d=1 t=1442
db;ev 	都	c=7 d=2.07412 t=2699
db;ev bu;ad vi;ku dk;zu 	都不知道	c=1 d=1 t=2418
db;ev ke;dk yi;rd 	都可以	c=1 d=1 t=2066
db;ev mz;du ns;cw wj;by 	都沒弄完	c=1 d=1 t=1874
db;ev ui;op 	都是	c=3 d=1.35021 t=2571
db;ev yb;ou 	都有	c=1 d=1 t=2720
db;ev yk;xn 	都要	c=1 d=1 t=102
dc;yv 	調	c=2 d=1.83946 t=1856
dc;yv yj;uk 	調研	c=1 d=1 t=764
dc;yv ys;kf 	調用	c=3 d=1.15621 t=2458
dc;yv ys;kf wo;pd de;bu 	調用我的	c=1 d=1 t=2208
de;bu 	的	c=0 d=0.1 t=2145
dg;dd lu;jl 	登錄	c=4 d=2.62954 t=615
dg;dd lu;jl go;zg 	登錄過	c=1 d=1 t=99
dh;dt qm;qd 	當前	c=4 d=1.01478 t=2653
dh;md an;ma 	檔案	c=2 d=1.29523 t=1235
dh;md an;ma ka;ub 	檔案卡	c=3 d=1.58317 t=1231
di;ty fh;wd 	地方	c=1 d=1 t=2698
